pro_com_t,cap
017109,25080
017110,25040
017111,25050
017112,25040
017113,25018
017114,25010
017115,25070
017116,25080
017117,25075
017118,25050
017119,25080
017120,25080
017121,25076
017122,25020
017123,25050
017124,25040
017125,25034
017126,25030
017127,25035
017128,25050
017129,25080
017130,25050
017131,25050
017132,25080
017133,25036
017134,25030
017135,25050
017136,25050
017137,25020
017138,25020
017139,25070
017140,25078
017141,25060
017142,25050
017143,25055
017144,25060
017145,25080
017146,25030
017147,25020
017148,25056
017149,25026
017150,25037
017151,25010
017152,25020
017153,25070
017155,25080
017156,25050
017157,25070
017158,25080
017159,25027
017160,25010
017161,25086
017162,25030
017163,25050
017164,25077
017165,25030
017166,25038
017167,25030
017168,25070
017169,25057
017170,25087
017171,25010
017172,25020
017173,25010
017174,25068
017175,25040
017176,25050
017177,25020
017178,25080
017179,25019
017180,25080
017181,25048
017182,25058
017183,25060
017184,25050
017185,25080
017186,25030
017187,25088
017188,25039
017189,25010
017190,25030
017191,25070
017192,25030
017193,25080
017194,25080
017195,25028
017196,25029
017197,25078
017198,25059
017199,25069
017200,25030
017201,25089
017202,25050
017203,25010
017204,25079
017205,25050
017206,25052
018001,27020
018002,27040
018003,27020
018004,27010
018005,27040
018006,27010
018007,27050
018008,27041
018009,27010
018011,27050
018012,27020
018013,27011
018014,27021
018015,27010
018016,27040
018017,27040
018018,27020
018019,27010
018020,27040
018021,27050
018022,27020
018023,27042
018024,27043
018025,27040
018026,27040
018027,27031
018029,27044
018030,27020
018031,27041
018032,27040
018033,27050
018034,27022
018035,27023
018036,27040
018037,27045
018038,27040
018039,27030
018040,27030
018041,27051
