pro_com_t,pop_res_21
16166,87
16167,1554
16168,1740
16169,6722
16170,11511
16171,3320
16172,4920
16173,4520
16174,1803
16175,1079
16176,4771
16177,1671
16178,5891
16179,1237
16180,904
16182,3774
16183,20317
16184,414
16185,807
16186,901
16187,4116
16188,4660
16189,5725
16190,4757
16191,521
16193,6697
16194,9784
16195,1150
16196,2462
16197,1994
16198,24744
16199,2024
16200,1777
16201,694
16202,8998
16203,4436
16204,5162
16205,974
16206,5669
16207,13243
16208,1059
16209,3720
16210,534
16211,2014
16212,4911
16213,7989
16214,8641
16215,2192
16216,2463
16217,1081
16218,9543
16219,30296
16220,10730
16221,1361
16222,9801
16223,986
16224,4358
16225,587
16226,134
16227,207
16229,251
16230,188
16232,7469
16233,8115
16234,4502
16235,1110
16236,1303
16237,577
16238,4485
16239,6572
16240,6674
16241,1785
16242,7954
16243,1436
16244,2687
16245,8595
16246,8640
16247,880
16248,657
16249,291
16250,2342
16251,2029
16252,3863
16253,4205
17001,1510
17002,7103
17003,1644
17004,2388
17005,446
17006,2345
17007,3545
17008,3315
17009,12406
17010,3772
17011,2282
17012,1147
17013,2311
17014,12187
17015,2731
17016,1562
17017,2436
17018,3777
17019,1319
17020,5377
17021,9021
17022,2519
17023,10568
17024,2053
17025,7393
17026,1678
17027,683
17028,4694
17029,195102
17030,736
17031,2097
17032,12810
17033,3552
17034,8402
17035,2406
17036,346
17037,4622
17038,9298
17039,12877
17040,8328
17041,6633
17042,10848
17043,11386
17044,1643
17045,7443
17046,10928
17047,1105
17048,4904
17049,655
17050,1796
17051,829
17052,19087
17053,1482
17054,532
17055,2721
17056,8723
17057,4542
17058,2067
17059,7495
17060,3990
17061,15537
17062,7135
17063,1913
17064,1402
17065,15598
17066,5528
17067,29314
17068,4466
17069,8531
17070,5162
17071,2000
17072,8774
17073,4578
17074,2627
17075,11390
17076,2766
17077,12249
17078,18396
17079,2152
17080,4933
17081,16359
17082,1893
17083,346
17084,132
17085,9019
17086,4059
17087,481
17088,13956
17089,1136
17090,1633
17091,3718
17092,16617
17093,561
17094,610
17095,375
17096,21648
17097,1462
17098,105
17099,3442
17100,1982
17101,3092
17102,5321
17103,13128
17104,4174
17105,659
17106,3116
17107,12400
17108,1736
17109,2541
17110,514
17111,1646
17112,4542
17113,25739
17114,5023
17115,773
17116,2634
17117,10443
17118,1983
17119,3867
17120,4643
17121,1911
17122,4054
17123,3195
17124,968
17125,12315
17126,2426
17127,14107
17128,1502
17129,4696
17130,3602
17131,173
17132,2139
17133,19975
17134,4815
17135,592
17136,6892
17137,2688
17138,4444
17139,558
17140,582
17141,1455
17142,4684
17143,7872
17144,2434
17145,2660
17146,3744
17147,5142
17148,1743
17149,6910
17150,6855
17151,3533
17152,2798
17153,1493
17155,6723
17156,7219
17157,890
17158,3469
17159,6123
17160,3333
17161,13146
17162,4780
17163,9708
17164,4337
17165,9283
17166,18841
17167,5805
17168,3959
17169,3310
17170,10463
17171,3451
17172,2620
17173,4662
17174,13166
17175,847
17176,1419
17177,1434
17178,3058
17179,8126
17180,1940
17181,1222
17182,1923
17183,1206
17184,1110
17185,1192
17186,6311
17187,7634
17188,13606
17189,2061
17190,5375
17191,518
17192,3687
17193,1416
17194,169
17195,8012
17196,3746
17197,4200
17198,1466
17199,10430
17200,1367
17201,5774
17202,636
17203,1998
17204,8173
17205,1032
17206,4694
18001,797
18002,234
18003,508
18004,3555
18005,1540
18006,384
18007,627
18008,865
18009,1755
18011,958
18012,665
18013,6161
18014,3093
18015,2598
18016,1296
18017,402
18018,914
18019,2643
18020,609
18021,528
18022,702
18023,3437
18024,9353
18025,108
18026,1067
18027,1464
18029,1325
18030,1416
18031,457
18032,877
18033,2377
18034,8783
18035,6790
18036,715
18037,6536
18038,955
18039,1066
18040,536
18041,6619
18042,229
18043,2234
18044,176
18045,692
18046,5418
18047,1136
18048,3906
18049,1297
18050,5288
18051,941
18052,1556
18053,1693
18054,748
18057,982
18058,376
18059,365
18060,4917
18061,4519
18062,1100
18063,803
18064,353
18065,1123
18066,173
18067,202
18068,9620
18069,9456
18071,1384
18072,5235
18073,3193
18074,179
18075,2715
18076,4334
18077,1460
18078,6361
18079,365
18080,1131
18081,2804
18082,129
18083,2055
18084,2448
18085,1752
18086,2434
18087,1656
18088,6263
18089,345
18090,1045
18091,461
18092,1341
18093,3580
18094,863
18095,1511
18096,519
18097,411
18098,253
18099,644
18100,1616
18101,602
18102,15242
18103,291
18104,723
18105,164
18106,1067
18107,1814
18108,303
18109,1848
18110,70971
18111,764
18112,842
18113,1758
18114,2576
18115,1668
18116,692
18117,761
18118,1438
18119,399
18120,1027
18121,1548
18122,5191
18123,5759
18124,529
18125,66
18126,208
18127,629
18128,621
18129,1528
18130,540
18131,858
18133,472
18134,630
18135,4006
18136,1033
18137,6411
18138,5143
18139,1871
18140,1541
18141,950
18142,466
18143,2286
18144,787
18145,540
18146,1501
18147,863
18148,204
18149,652
18150,6313
18151,1152
18152,530
18153,11539
18154,599
18155,1569
18156,525
18157,921
18158,315
18159,2385
18160,3492
18161,824
18162,4463
18163,2318
18164,3647
18165,1026
18166,585
18167,197
18168,2094
18169,1460
18171,3059
18172,95
18173,3339
18174,371
18175,1225
18176,6520
18177,62108
18178,59
18179,767
18180,3291
18181,1526
18182,38592
18183,124
18184,958
18185,1676
18186,995
18187,469
18188,393
18189,1681
18190,3120
18191,826
18192,2472
18193,1043
19001,1126
19002,3854
19003,1953
19004,590
19005,4862
19006,1452
19007,568
19009,1159
19010,1214
19011,674
19012,2166
19013,541
19014,411
19015,2276
19016,3666
19017,1817
19018,1136
19019,523
19020,1773
19021,15127
19022,1575
19023,571
19024,447
19025,9278
19026,5509
19027,282
19028,481
19029,2253
19030,889
19031,1145
19032,1028
19033,1314
19034,1562
19035,34242
19036,71523
19037,1728
19038,625
19039,411
19040,301
19041,3726
19043,1193
19044,999
19045,857
19046,1900
19047,1140
19048,1325
19049,628
19050,1505
19051,1686
19052,2626
19053,1099
19054,1945
19055,2776
19056,1710
19057,2066
19058,2263
19059,2453
19060,718
19061,821
19062,5874
19063,912
19064,2766
19065,1324
19066,3768
19067,8852
19068,3311
19069,1511
19070,586
19072,2491
19073,1115
19074,1258
19075,1578
19076,6302
19077,1411
19078,881
19079,1736
19080,992
19081,3355
19082,529
19083,1831
19084,7919
19085,2258
19086,3072
19087,1122
19088,2109
19089,1276
19090,1904
19091,393
19092,1310
19093,520
19094,3494
19095,3183
