pro_com_t,<5,>=5,totale
006024,10,419,429
006025,13,469,482
006026,6,461,467
006027,12,716,728
006028,4,449,453
006029,46,1749,1795
006030,36,1062,1098
006031,13,320,333
006032,13,407,420
006033,13,900,913
006034,2,86,88
006035,18,471,489
006036,18,706,724
006037,31,1136,1167
006038,7,357,364
006039,994,31647,32641
006040,33,946,979
006041,3,113,116
006043,107,2753,2860
006044,17,835,852
006045,2,83,85
006046,9,388,397
006047,152,4237,4389
006048,3,140,143
006049,43,1815,1858
006050,14,438,452
006051,32,1396,1428
006052,14,612,626
006053,137,4737,4874
006054,10,381,391
006055,6,251,257
006056,11,466,477
006057,9,382,391
006058,7,295,302
006059,33,1268,1301
006060,11,440,451
006061,22,926,948
006062,5,318,323
006063,22,969,991
006065,4,168,172
006066,2,178,180
006067,11,583,594
006068,54,2088,2142
006069,7,298,305
006070,19,483,502
006071,12,421,433
006072,13,461,474
006073,32,1339,1371
006074,13,611,624
006075,66,1819,1885
006076,68,1511,1579
006077,18,985,1003
006078,20,805,825
006079,10,608,618
006081,133,4321,4454
006082,25,658,683
006083,5,290,295
006084,6,235,241
006085,8,463,471
006086,9,293,302
006087,20,631,651
006088,14,809,823
006090,1,82,83
006091,39,1257,1296
006092,33,1216,1249
006093,5,175,180
006094,22,1190,1212
006095,52,2017,2069
006096,16,554,570
006097,21,925,946
006098,4,199,203
006099,4,193,197
006100,1,149,150
006101,17,541,558
006102,3,239,242
006103,4,239,243
006104,7,605,612
006105,4,302,306
006106,12,501,513
006107,11,275,286
006108,5,304,309
006109,28,1296,1324
006110,5,413,418
006111,20,687,707
006112,18,597,615
006113,28,1275,1303
006114,959,26724,27683
006115,48,1213,1261
006116,13,393,406
006117,7,233,240
006118,1,114,115
006119,10,398,408
006120,15,577,592
006121,328,10647,10975
006122,32,1150,1182
006123,30,1328,1358
006124,3,201,204
006125,9,511,520
006126,6,616,622
006127,41,1235,1276
006128,30,1126,1156
006129,20,854,874
006131,7,321,328
006132,105,3317,3422
006133,37,1294,1331
006134,10,540,550
006135,10,316,326
006136,17,986,1003
006137,4,297,301
006138,129,4393,4522
006139,10,468,478
006140,38,1872,1910
006141,52,1300,1352
006142,40,1484,1524
006143,19,599,618
006144,32,1329,1361
006145,5,384,389
006146,2,124,126
006147,37,1393,1430
006148,4,218,222
006149,23,1438,1461
006150,11,328,339
